Property Address,Property Name,Number Of Units,Star Rating,Building Class,PropertyType,Secondary Type,Affordable Type,Building Status,Market Name,Submarket Name,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Address,Sale Company City State Zip,Sale Company Phone,Sale Company Fax,Sale Company Contact,Vacancy %,Month Built,Year Built,Year Renovated,Number Of Stories,Total Buildings,Rent Type,Property Manager Name,Property Manager Contact,Property Manager Phone,PropertyID,Owner Contact,Owner Name,Number Of Parking Spaces,County Name,Amenities,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number Of Studios Units,Number Of Elevators,Operational Status,Latitude,Longitude,Four Bedroom Vacancy %,One Bedroom Vacancy %,Studio Vacancy %,Three Bedroom Vacancy %,Two Bedroom Vacancy %
4805 70th St,,10,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115,,,,,,,,,,,,,4.12,,1964,,2,1,Market,,,,8130128,,Levinsky & Ceren Family Trust,10,San Diego,,,,,,,0,,32.7661635,-117.0464859,,,,,
4809-4819 70th St,Reese Village Apartments,19,2,C,Multi-Family,Apartments,Affordable Units,Existing,San Diego,Rolando,San Diego,CA,92115-3020,,,,,,,,,,,,,3.12,,1946,2002,2,6,Affordable,Reese Village Apartments,,8582773757,4034357,,TACHS,6,San Diego,Wheelchair Accessible (Rooms),19,,,,,0,,32.7663250,-117.0464750,,5.3,,,
4825 70th St,,16,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115,,,,,,,,,,,,,4.12,,1975,,2,1,Market,David Figg Trust,David Figg,8582746699,8130127,Jason Lee,Jason Lee,19,San Diego,,14,2,,,,0,,32.7667402,-117.0465196,,7.1,,,0.0
4845-4855 70th St,70th Street,15,3,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115-3018,,,1484,,,,,,,,,,4.12,,1986,,2,1,Market,PCP - 70th Street,,6192937300,113190,Sharif Sleiman,Sharif Sleiman,22,San Diego,Air Conditioning,4,10,1,,,0,,32.7670050,-117.0463540,,0.0,,0.0,0.0
4881 70th St,Viking Arms,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115-3070,734,1.22,893,,,,,,,,,,4.12,,1972,,2,1,Market,,,,4290545,,S M C Enterprises L L C,8,San Diego,Laundry Facilities,1,7,,,,0,,32.7674870,-117.0465280,,0.0,,,0.0
5118-5122 70th St,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,College East,San Diego,CA,92115-1807,1359,,,,,,,,,,,,4.12,,1960,2019,2,1,Market,,,,12382335,,,,San Diego,"Yard, Breakfast Nook, Garden, Patio",,,4,2,,0,,32.7716203,-117.0472336,0.0,,,0.0,
5120 70th St,,3,2,C,Multi-Family,Apartments,,Existing,San Diego,College East,San Diego,CA,92115-1807,1087,2.24,2438,,,,,,,,,,4.12,,1960,2018,2,1,Market,,,,12378541,Benjamin Johnson,Benjamin A Johnson,,San Diego,"Picnic Area, Gated, Breakfast Nook, Deck, Garden",,,1,1,1,0,,32.7716514,-117.0472591,0.0,,0.0,0.0,
4779 71st St,,2,1,,Multi-Family,Apartments,,Existing,San Diego,La Mesa,La Mesa,CA,91942-8513,2100,,,,,,,,,,,,4.12,,2019,,3,1,Market,,,,11222911,,Tracy Nguyen,4,San Diego,,,1,,1,,0,,32.7656300,-117.0454446,0.0,,,,0.0
4842-4844 71st St,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115-3029,1248,,,,,,,,,,,,4.12,,1979,,2,1,Market,,,,4188323,,Rountree William E,10,San Diego,Laundry Facilities,,1,4,,,0,,32.7672950,-117.0460700,,,,0.0,0.0
5061 72nd St,,23,4,A,Multi-Family,Apartments,Rent Restricted,Under Construction,San Diego,College East,San Diego,CA,92115-1817,1068,,,,,,,,,,,,,7,2024,,2,2,Market/Affordable,,,,11483244,Abe Cohen,"Countywide Home Loans of Southern California, Inc.",20,San Diego,"Courtyard, Fenced Lot, Laundry Facilities, Picnic Area, Trash Pickup - Curbside, Storage Space, Island Kitchen, Smoke Free, Wheelchair Accessible (Rooms), Window Coverings, Public Transportation",,8,15,,,0,,32.7706304,-117.0424163,,,,,
6130-6140 Acorn St,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115-4005,,,1056,,,,,,,,,,4.12,,,,2,2,Market,,,,4387862,,Lau Family Trust,16,San Diego,,6,1,,,1,0,,32.7601630,-117.0656520,,0.0,0.0,,0.0
6156-6162 Acorn St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115,,,1974,,,,,,,,,,4.12,,1953,,2,2,Market,,,,930117,Yvette Vernon,Yvette Vernon,3,San Diego,"Air Conditioning, Courtyard, Yard, Storage Space, Patio, Vinyl Flooring",,4,,,,0,,32.7603530,-117.0653580,,,,,0.0
6165 Acorn St,,3,2,,Multi-Family,,,Existing,San Diego,Rolando,San Diego,CA,92115-4006,770,,,,,,,,,,,,4.12,,2000,,1,,Market,,,,12806084,,,,San Diego,,1,2,,,,0,,32.7600860,-117.0650260,,0.0,,,0.0
6263 Acorn St,Dorado Plaza Apartments,202,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115-4000,621,3.50,2180,,,,,,,,,,19.10,,1963,,2,14,Market,ICI - Dorado Plaza,,6195830662,7761464,George Albert,"Investment Concepts, Inc.",180,San Diego,"Air Conditioning, Business Center, Fitness Center, Property Manager on Site, Maintenance on site, Dining Room, Vinyl Flooring, Window Coverings",122,80,,,,0,,32.7599919,-117.0627140,,18.9,,,18.8
6280 Acorn St,Palms Patio Apartments,32,2,C,Multi-Family,Apartments,Rent Subsidized,Existing,San Diego,Rolando,San Diego,CA,92115-4046,649,1.94,1258,,,,,,,,,,2.65,,1959,,2,4,Market/Affordable,Palms Patio Apartment,,6194505847,817033,Scott DeGoler,Immobilier Funds,36,San Diego,"Air Conditioning, Laundry Facilities, Patio",20,12,,,,0,,32.7607380,-117.0624220,,5.0,,,0.0
6025-6043 Adams Ave,Adams Eight,8,2,C,Multi-Family,Apartments,,Existing,San Diego,College West,San Diego,CA,92115-3806,608,2.53,1536,,,,,,,,,,4.12,,1950,,2,2,Market,,,,646703,,SRM Urban,4,San Diego,,4,2,2,,,0,,32.7624407,-117.0680159,,0.0,,0.0,0.0
6053-6065 Adams Ave,,7,2,C,Multi-Family,Apartments,,Existing,San Diego,College West,San Diego,CA,92115-3808,,,,,,,,,,,,,4.12,,1951,,2,2,Market,,,,4140068,Joshua Blacker,Joshua A. Blacker Trust,5,San Diego,Laundry Facilities,2,5,,,,0,,32.7624480,-117.0675240,,0.0,,,0.0
5502 Adelaide Ave,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,El Cerrito,San Diego,CA,92115,550,3.05,2037,,,,,,,,,,4.12,,1989,,2,1,Market,Constellation - 5502 Adelaide Ave,,6199557776,5492207,Mark Nys,Mark Nys Separate Property Trust,20,San Diego,"Laundry Facilities, Patio, Vinyl Flooring",4,4,,,,0,,32.7576862,-117.0763562,,0.0,,,0.0
6098 Adelaide Ave,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,El Cerrito,San Diego,CA,92115-5422,,,,,,,,,,,,,4.12,,1942,,,2,,,,,12250413,,Stephanie M Lloyd,,San Diego,"Yard, Patio",,2,,,,0,,32.7577986,-117.0666697,,,,,0.0
6625-6631 Amherst St,Amherst Manor Apartments,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115,750,2.24,1679,,,,,,,,,,4.12,,1955,,2,1,Market,,,,4416434,Mark Nys,Mark Nys Separate Property Trust,5,San Diego,"Laundry Facilities, Double Pane Windows, Family Room, Vinyl Flooring",,8,,,,0,,32.7668600,-117.0562700,,,,,0.0
6707 Amherst St,College Apartments,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115-2946,1200,,,,,,,,,,,,4.12,,1986,,2,1,Market,,,,84597,Craig Noble,Craig Noble,12,San Diego,Laundry Facilities,,,,6,,0,,32.7673541,-117.0536284,0.0,,,,
6725 Amherst St,Amherst Aztec,41,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115,,,,,,,,,,,,,4.12,,,,2,4,Market,Prime Asset Management,Paul Hernandez,8584909125,6889296,,Jack H & Retha Files,,San Diego,,,,,,,0,,32.7670010,-117.0532563,,,,,
6849-6851 Amherst St,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115-3073,,,,,,,,,,,,,4.12,,1940,,1,1,Market,"Cotta, Jared",Jared Cotta,6192652250,9472852,Jared Cotta,"Cotta, Jared",5,San Diego,,,,,,,0,,32.7671378,-117.0501198,,,,,
6868-6876 Amherst St,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115,,,,,,,,,,,,,4.12,,,,1,1,Market,,,,8133342,,James Michelle & Jenckes Kenne,5,San Diego,,,,,,,0,,32.7678120,-117.0499960,,,,,
6875-6877 Amherst St,,13,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115-3074,499,,,,,,,,,,,,,,,,1,10,Market,Oliver Holdings,Andrew Oliver,8584542662,922344,Andrew Oliver,Oliver Holdings,6,San Diego,,,,,,13,0,,32.7672326,-117.0496025,,,0.0,,
6917 Amherst St,Amherst Palms,19,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115,,,,,,,,,,,,,4.12,,,,2,1,Market,Amherst Palms Apartments,Elizabeth Aranda,6195341568,6889297,Jim Stein,James R Stein,8,San Diego,,,,,,,0,,32.7671750,-117.0488850,,,,,
6966 Amherst St,Le Shelle Apts,14,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115,1000,2.37,2366,,,,,,,,,,4.12,,1958,,2,1,Market,,,,6889302,,Janet Ann Harb,12,San Diego,Air Conditioning,,14,,,,0,,32.7679688,-117.0477382,,,,,7.1
7012 Amherst St,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115-3045,,,,,,,,,,,,,4.12,,,,1,2,Market,,,,9472837,,Dangelo Family Trust,5,San Diego,,,,,,,0,,32.7678910,-117.0466873,,,,,
7105 Amherst St,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,La Mesa,La Mesa,CA,91942-8530,,,,,,,,,,,,,4.12,,,,1,1,Market,,,,9468019,,Rozanne A Chertkov,5,San Diego,,,,,,,0,,32.7674548,-117.0450419,,,,,
7118-7122 Amherst St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115,,,,,,,,,,,,,4.12,,1950,,2,1,Market,,,,10322522,Eva Rosciszewski,Eva Bauer Rosciszewski,,San Diego,Air Conditioning,,,,4,,0,,32.7679900,-117.0442200,0.0,,,,
7134 Amherst St,El Castillo,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115-3053,,,,,,,,,,,,,4.12,,,,1,1,Market,,,,5491942,,Frank Sciarrino,6,San Diego,,,,,,,0,,32.7679660,-117.0439750,,,,,
4828 Art St,,16,2,C,Multi-Family,Apartments,,Existing,San Diego,College East,San Diego,CA,92115,808,2.25,1817,,,,,,,,,,7.02,,1988,,2,1,Market,All Points Real Estate,Mary Cook,6192987724,8096272,Nora Menzies,Bruce Menzies,16,San Diego,,8,8,,,,0,,32.7653608,-117.0614770,,12.5,,,0.0
6925 Boulevard Dr,Mateus Apartments,20,2,C,Multi-Family,Apartments,,Existing,San Diego,La Mesa,La Mesa,CA,91941-7445,650,1.84,1197,,,,,,,,,,0.51,,,,2,2,Market,Mateus Apartments,Barbara Mateus,6192331240,8133340,Ermelindo Mateus,Ermelindo N & Barbara J Family Mateus Trust,20,San Diego,,20,,,,,0,,32.7547067,-117.0483522,,0.0,,,
6165-6167 Carling Way,,7,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115-5522,,,,,,,,,,,,,4.12,,1987,,2,2,Market,,,,8270143,William Laycock,William & Elisa Laycock Family Trust,14,San Diego,,,5,2,,,0,,32.7565753,-117.0639012,,,,0.0,0.0
4981 Catoctin Dr,State,133,2,C,Multi-Family,Apartments,,Existing,San Diego,College East,San Diego,CA,92115-2611,605,3.93,2380,,,,,,,,,,8.88,,1967,,2,7,Market,FPI - State,,6192860441,4181597,,Blackstone Inc.,140,San Diego,"Courtyard, Laundry Facilities, Picnic Area, Pool, Property Manager on Site, Gated, Breakfast/Coffee Concierge, Grill, Laundry Service, Recycling, Maintenance on site, Sundeck, Den, Dining Room, Vinyl Flooring",118,12,3,,,0,,32.7685000,-117.0585950,,8.5,,0.0,8.3
4333 College Ave,The Dalton Apartments,35,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115-5713,503,3.65,1837,,,,,,,,,,4.13,,1965,,2,2,Market,Constellation - The Dalton Apartments,,6199557776,8091193,Bernard Xavier,Xavier Family Trust,45,San Diego,"Courtyard, Laundry Facilities",35,,,,,0,,32.7562440,-117.0658340,,2.9,,,
4419 College Ave,College Eight,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115,386,,,,,,,,,,,,4.12,,1953,,1,1,Market,,,,646715,Steven Mollering,Steven B Mollering,6,San Diego,Air Conditioning,8,,,,,0,,32.7573245,-117.0659954,,0.0,,,
4435 College Ave,,4,2,,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115,676,,,,,,,,,,,,4.12,,1953,,2,1,Market,,,,11339205,Sami Haddad,Sami Haddad,4,San Diego,"Courtyard, Fenced Lot, Laundry Facilities, Gated, Grill, Gas Range",,4,,,,0,,32.7574467,-117.0660717,,,,,0.0
4445-4451 College Ave,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115,,,,,,,,,,,,,4.12,,,,2,1,Market,,,,8091197,,Abdolhamid Badiozamani,10,San Diego,,,,,,,0,,32.7574000,-117.0658120,,,,,
4550 College Ave,,3,2,C,Multi-Family,Apartments,,Existing,San Diego,El Cerrito,San Diego,CA,92115-4008,,,,,,,,,,,,,4.12,,2000,,1,2,Market,,,,11129262,,,,San Diego,,2,,1,,,0,,32.7597100,-117.0667700,,0.0,,0.0,
4778-80 College Ave,,2,2,,Multi-Family,,,Existing,San Diego,College West,San Diego,CA,92115-3905,1003,,,,,,,,,,,,4.12,,1945,,1,,Market,,,,19828374,,,5,San Diego,Air Conditioning,,1,1,,,0,,32.7647830,-117.0671690,,,,0.0,0.0
4825 College Ave,College Ave Apartment,40,2,C,Multi-Family,Apartments,,Existing,San Diego,College East,San Diego,CA,92115,700,1.95,1365,,,,,,,,,,4.12,,,,4,1,Market,College Avenue Apartments,,6192879890,8096271,,Beth Jacob Congregation & Cent,40,San Diego,Recycling,20,20,,,,0,,32.7655481,-117.0665057,,5.0,,,5.0
4840 College Ave,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,College West,San Diego,CA,92115-3907,1775,,,,,,,,,,,,4.12,,1946,2020,1,2,,,,,12304365,,Steven Zehv Maman,,San Diego,Air Conditioning,,,,1,,0,,32.7658762,-117.0672749,0.0,,,,
5065-5077 College Ave,College Avenue Apartments,9,2,C,Multi-Family,Apartments,,Existing,San Diego,College East,San Diego,CA,92115-2406,621,1.49,1192,,,,,,,,,,4.12,,1952,,2,1,Market,College Avenue Apartments,,6195898349,4191122,,5077 College Avenue Llc,4,San Diego,,6,1,2,,,0,,32.7703810,-117.0693260,,0.0,,0.0,0.0
5090 College Ave,La Toscana,16,2,C,Multi-Family,Apartments,,Existing,San Diego,College West,San Diego,CA,92115,725,1.80,1303,,,,,,,,,,4.12,,,,2,1,Market,Red House- La Toscana,Richardson Griswold,8557553031,6897971,,Shane Webber,22,San Diego,Air Conditioning,8,8,,,,0,,32.7703887,-117.0700894,,0.0,,,0.0
5737-5787 College Ave,Villa Del Cerro,103,2,C,Multi-Family,Apartments,,Existing,San Diego,Del Cerro,San Diego,CA,92120,918,2.27,2082,,,,,,,,,,1.64,,1968,,2,5,Market,Sunwest - Villa Del Cerro Apartments,,6192861777,8021154,,Recht Family Trust Dated 8/31/1998,210,San Diego,"Air Conditioning, Fitness Center, Laundry Facilities, Picnic Area, Grill, Patio, Window Coverings",29,74,,,,0,,32.7842025,-117.0612830,,0.0,,,1.4
4349-4359 College Way,,15,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115,,,,,,,,,,,,,4.12,,,,2,1,Market,,,,8091201,,BENDETT FAMILY TRUST,15,San Diego,,,,,,,0,,32.7565360,-117.0657398,,,,,
4551 College Way,,3,2,C,Multi-Family,Apartments,,Existing,San Diego,El Cerrito,San Diego,CA,92115-5429,,,,,,,,,,,,,4.12,,2000,,1,2,Market,,,,11047875,Deborah Gruen,Deborah Gruen,,San Diego,,2,,1,,,0,,32.7597100,-117.0668400,,0.0,,0.0,
4490 Collwood Blvd,Chateau De Ville,41,2,C,Multi-Family,Apartments,,Existing,San Diego,Talmadge,San Diego,CA,92115,789,2.16,1703,,,,,,,,,,1.78,,1973,,3,1,Market,Torrey Pines - Chateau DeVille,,8583364586,4423367,,RFC Capital,22,San Diego,"24 Hour Access, Air Conditioning, Courtyard, Laundry Facilities, Picnic Area, Pool, Spa, Gated, Breakfast/Coffee Concierge, Grill, Elevator, Public Transportation",33,8,,,,1,,32.7594537,-117.0804044,,3.0,,,0.0
5420 Conneticut Ave,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,La Mesa,La Mesa,CA,91942-1200,,,1428,,,,,,,,,,4.12,,1951,,2,2,Market,,,,4606157,,"B & B Properties 2000, LP",12,San Diego,"Air Conditioning, Laundry Facilities",,,5,,,0,,32.7757750,-117.0460490,,,,0.0,
4533-4535 Contour Blvd,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Talmadge,San Diego,CA,92115-3402,500,1.96,978,,,,,,,,,,0.31,,,,2,1,Market,Cethron Property Management,,6192951100,9469733,Fred Milstein,Fred Milstein,,San Diego,,8,,,,,0,,32.7597895,-117.0822179,,0.0,,,
4455-4459 Dawson Ave,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Talmadge,San Diego,CA,92115-4720,,,1409,,,,,,,,,,4.12,,,,2,3,Market,CMG - 4455 Dawson Avenue,,6194970771,7564147,Clayton Hensen,Clayton Reid Henson,6,San Diego,"Courtyard, Gated, Patio",2,1,,,1,0,,32.7583780,-117.0820770,,0.0,0.0,,0.0
4461-4463 Dawson Ave,,6,3,C,Multi-Family,Apartments,,Existing,San Diego,Talmadge,San Diego,CA,92115,,,,,,,,,,,,,4.12,,2000,,1,3,Market,,,,7564151,,E M P D Partners L P,6,San Diego,"Air Conditioning, Wheelchair Accessible (Rooms)",,,,,,0,,32.7584870,-117.0821620,,,,,
4425-4427 Dayton St,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,College West,San Diego,CA,92115-3618,800,,,,,,,,,,,,4.12,,,,2,1,Market,,,,4162737,,Barr Daniel L,11,San Diego,Laundry Facilities,2,4,,,,0,,32.7587590,-117.0771170,,0.0,,,0.0
4430 Dayton St,Campus Village 4,9,2,C,Multi-Family,Apartments,,Existing,San Diego,College West,San Diego,CA,92115,,,1943,,,,,,,,,,4.12,,1988,,2,1,Market,Walsh & Comapny - Campus Village 4,,,8087217,John Walsh,Walsh & Company,11,San Diego,,,,9,,,0,,32.7587142,-117.0777333,,,,0.0,
5527 Dorothy Dr,,2,2,,Multi-Family,,,Existing,San Diego,College West,San Diego,CA,92115-2302,,,,,,,,,,,,,4.12,,1980,2023,1,,Market,,,,17855741,,Tnt Estates Llc,,San Diego,,,,,1,,0,,32.7687930,-117.0753370,0.0,,,,
6116 Dorothy Dr,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,College East,San Diego,CA,92115-2415,,,,,,,,,,,,,4.12,,1951,2019,1,1,,,,,12259112,William Braude,Xyzzy Trust,3,San Diego,Family Room,,,,2,,0,,32.7693778,-117.0675716,0.0,,,,
6233 Dorothy Dr,,1,2,,Multi-Family,Dormitory,,Existing,San Diego,College East,San Diego,CA,92115-2418,2264,,,,,,,,,,,,4.12,,1981,2020,1,1,,,,,12634558,,Mirkhani Family Trust,2,San Diego,"Laundry Facilities, Vinyl Flooring",,,,,,0,,32.7690370,-117.0654600,,,,,
5252 El Cajon Blvd,Talmadge Senior Village,47,4,A,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,Talmadge,San Diego,CA,92115,612,0.99,605,,,,,,,,,,0.45,2,2006,,3,1,Affordable,National CORE - Talmadge Senior,,6192651600,1446389,Pat Whitaker,National Community Renaissance,50,San Diego,"Air Conditioning, Business Center, Clubhouse, Courtyard, Laundry Facilities, Property Manager on Site, Laundry Service, Elevator, Wheelchair Accessible (Rooms)",44,3,,,,0,,32.7577399,-117.0820149,,0.0,,,0.0
5288 El Cajon Blvd,The Cove Apartments,20,2,C,Multi-Family,Apartments,Affordable Units,Existing,San Diego,Talmadge,San Diego,CA,92115-4739,,,1053,,,,,,,,,,3.12,,1965,,2,1,Affordable,TACHS (The Assoc. For Community Housing Solutions),Kimberly Russell-Shaw,8587903745,854583,Kimberly Russell-Shaw,TACHS (The Assoc. For Community Housing Solutions),16,San Diego,"Laundry Facilities, Picnic Area",20,,,,,0,,32.7582249,-117.0817758,,5.0,,,
5474 El Cajon Blvd,,162,3,B,Multi-Family,Apartments,Affordable Units,Under Construction,San Diego,College West,San Diego,CA,92115,,,,,,,,,,,,,,10,2024,,5,1,Affordable,,,,11598912,,Family Health Centers of San Diego,,San Diego,,,,,,,0,,32.7585097,-117.0769320,,,,,
5841 El Cajon Blvd,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,El Cerrito,San Diego,CA,92115-3741,700,2.79,1954,,,,,,,,,,4.12,,1972,,2,2,Market,SDRenpros - 5841 El Cajon Blvd,,,10798598,James Wei,James H Wei,33,San Diego,,,8,,,,0,,32.7588800,-117.0712100,,,,,0.0
5865-5869 El Cajon Blvd,Campus Village 3,28,2,C,Multi-Family,Apartments,,Existing,San Diego,El Cerrito,San Diego,CA,92115-3763,870,1.79,1559,,,,,,,,,,3.99,,1989,,2,5,Market,Walsh & Company - Campus Village 3,,,8091196,John Walsh,Walsh & Company,37,San Diego,,1,3,24,,,0,,32.7588100,-117.0708480,,0.0,,4.2,0.0
5925 El Cajon Blvd,Campus Village,87,3,C,Multi-Family,Apartments,,Existing,San Diego,El Cerrito,San Diego,CA,92115,945,3.02,2855,,,,,,,,,,5.81,,1990,,3,1,Market,Walsh & Company - Campus Village,,6195833339,4032358,John Walsh,Walsh & Company,80,San Diego,"Air Conditioning, Laundry Facilities, Property Manager on Site, Gated, Breakfast/Coffee Concierge, Laundry Service, Package Service, Elevator, Maintenance on site, Den, Dining Room, Vinyl Flooring, Window Coverings",,16,71,,,0,,32.7593528,-117.0693536,,,,5.6,6.3
6150 El Cajon Blvd,The Plaza,105,3,C,Multi-Family,Apartments,,Existing,San Diego,College East,San Diego,CA,92115-3928,780,3.53,2553,,,,,,,,,,3.90,,1987,,3,1,Market,The Plaza,,6192651614,4037030,Al Malouf Assad,"Hanken Cono Assad & Co., Inc.",152,San Diego,"24 Hour Access, Air Conditioning, Courtyard, Laundry Facilities, Spa, Video Patrol, Disposal Chutes, Grill, Shuttle to Train, Walking/Biking Trails, Storage Space, Elevator, Maintenance on site, Online Services, Instant Hot Water, Intercom, Window Coverings, Shuttle To Campus",68,37,,,,0,,32.7631776,-117.0655898,,4.4,,,2.7
6470 El Cajon Blvd,Mesa Commons,77,4,B,Multi-Family,Apartments,Rent Subsidized,Existing,San Diego,College East,San Diego,CA,92115-2658,760,1.74,1321,,,,,,,,,,0.76,11,2014,,3,13,Affordable,ConAm - Mesa Commons,,6199081174,9081301,,Palm Communities,,San Diego,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Wheelchair Accessible (Rooms)",2,51,24,,,0,,32.7663923,-117.0601352,,0.0,,0.0,0.0
6769 El Cajon Blvd,,27,2,C,Multi-Family,Apartments,,Existing,San Diego,Rolando,San Diego,CA,92115-1623,,,986,,,,,,,,,,3.81,,1974,,2,5,Market,"Seapoint Properties, Inc.",,8588665636,6887898,Travis Minnich,Travis Minnich,20,San Diego,"Air Conditioning, Laundry Facilities",19,5,,,3,0,,32.7684238,-117.0521956,,5.3,0.0,,0.0
5884 Estelle St,,2,2,C,Multi-Family,Apartments,,Existing,San Diego,El Cerrito,San Diego,CA,92115,,,1380,,,,,,,,,,4.12,,1942,,2,,Market,,,,1592663,,Amy K Cleveland,,San Diego,,1,1,,,,0,,32.7583868,-117.0705388,,0.0,,,0.0
6036 Estelle St,,4,3,C,Multi-Family,Apartments,,Existing,San Diego,El Cerrito,San Diego,CA,92115,,,1616,,,,,,,,,,4.12,,1990,2005,2,,Market,,,,1480468,Steve Wong,Wong Steve Y,6,San Diego,"Air Conditioning, Laundry Facilities, Wheelchair Accessible (Rooms)",1,2,1,,,0,,32.7586980,-117.0674300,,0.0,,0.0,0.0
4214-4218 Harbinson Ave,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,La Mesa,La Mesa,CA,91942,,,1177,,,,,,,,,,4.12,,1952,,2,1,Market,,,,9468284,Valentina Britchko,Valentina Britchko,,San Diego,Double Pane Windows,,6,,,,0,,32.7554300,-117.0464100,,,,,0.0
4248 Harbinson Ave,,3,2,C,Multi-Family,Apartments,,Existing,San Diego,La Mesa,La Mesa,CA,91942-5930,,,,,,,,,,,,,4.12,,,,2,1,Market,,,,6055348,,Estes Philip E & Sarah E,6,San Diego,,,,,,,0,,32.7559015,-117.0457493,,,,,
5565 Hardy Ave,,12,2,B,Multi-Family,Apartments,,Existing,San Diego,College West,San Diego,CA,92115-1345,1000,1.91,1906,,,,,,,,,,17.33,,1981,,3,1,Market,Steven Lee Properties,Monica Falloon,6192955525,9469030,,Jessica Segal,,San Diego,,,12,,,,0,,32.7722389,-117.0751442,,,,,16.7
5584 Hardy Ave,Hardy Avenue Apartments,27,2,B,Multi-Family,Apartments,,Existing,San Diego,College West,San Diego,CA,92115,892,3.37,3010,,,,,,,,,,0.36,,1988,,3,1,Market,Whittington - Hardy Avenue Apartments,,6195829830,6896997,,Hooker-Nevers Family Survivors Trust,37,San Diego,"24 Hour Access, Laundry Facilities, Property Manager on Site, Gated, Laundry Service, Elevator, Maintenance on site, Online Services, Intercom, Window Coverings",,2,25,,,0,,32.7728469,-117.0749191,,,,0.0,0.0
5650 Hardy Ave,Aztec Campus Apartments,24,2,C,Multi-Family,Apartments,,Existing,San Diego,College West,San Diego,CA,92115-1360,850,4.51,3835,,,,,,,,,,,,1982,,3,1,Market,Aztec Campus Apartments,,6195824526,4187563,Al Malouf Assad,"Hanken Cono Assad & Co., Inc.",49,San Diego,"Laundry Facilities, Property Manager on Site, Laundry Service, Maintenance on site, Online Services",,,24,,,0,,32.7729060,-117.0740080,,,,0.0,
5710 Hardy Ave,Wesley House,11,2,C,Multi-Family,Apartments,,Existing,San Diego,College West,San Diego,CA,92115-1363,,,1741,,,,,,,,,,4.12,,1970,,2,1,Market,Sunrise Management - Wesley House,,6195820773,4712916,,"Wesley House Student Residence, Inc.",21,San Diego,Laundry Facilities,4,6,,,1,0,,32.7728980,-117.0728440,,0.0,0.0,,0.0
